bowler,phase,legal_balls,overs,total_overs,phase_usage_probability
AD Russell,death,781,130.16666666666666,427.8333333333333,0.30424620179197504
AD Russell,middle,1135,189.16666666666666,427.8333333333333,0.4421503700818076
AD Russell,powerplay,651,108.5,427.8333333333333,0.2536034281262174
AF Milne,death,191,31.833333333333332,130.5,0.24393358876117496
AF Milne,middle,227,37.833333333333336,130.5,0.28991060025542786
AF Milne,powerplay,365,60.833333333333336,130.5,0.4661558109833972
AJ Finch,death,6,1.0,7.333333333333333,0.13636363636363638
AJ Finch,middle,32,5.333333333333333,7.333333333333333,0.7272727272727273
AJ Finch,powerplay,6,1.0,7.333333333333333,0.13636363636363638
AJ Hosein,death,61,10.166666666666666,228.0,0.0445906432748538
AJ Hosein,middle,651,108.5,228.0,0.4758771929824561
AJ Hosein,powerplay,656,109.33333333333333,228.0,0.47953216374269003
AJ Turner,death,1,0.16666666666666666,2.666666666666667,0.06249999999999999
AJ Turner,middle,9,1.5,2.666666666666667,0.5624999999999999
AJ Turner,powerplay,6,1.0,2.666666666666667,0.37499999999999994
AJ Tye,death,468,78.0,180.0,0.43333333333333335
AJ Tye,middle,331,55.166666666666664,180.0,0.30648148148148147
AJ Tye,powerplay,281,46.833333333333336,180.0,0.2601851851851852
AK Markram,death,31,5.166666666666667,85.0,0.0607843137254902
AK Markram,middle,314,52.333333333333336,85.0,0.615686274509804
AK Markram,powerplay,165,27.5,85.0,0.3235294117647059
AM Nayar,death,6,1.0,33.0,0.030303030303030304
AM Nayar,middle,186,31.0,33.0,0.9393939393939394
AM Nayar,powerplay,6,1.0,33.0,0.030303030303030304
AM Rahane,middle,5,0.8333333333333334,0.8333333333333334,1.0
AR Patel,death,450,75.0,729.1666666666666,0.10285714285714287
AR Patel,middle,3002,500.3333333333333,729.1666666666666,0.6861714285714285
AR Patel,powerplay,923,153.83333333333334,729.1666666666666,0.2109714285714286
AS Joseph,death,356,59.333333333333336,187.16666666666669,0.3170080142475512
AS Joseph,middle,374,62.333333333333336,187.16666666666669,0.33303650934995543
AS Joseph,powerplay,393,65.5,187.16666666666669,0.3499554764024933
AU Rashid,death,169,28.166666666666668,343.83333333333337,0.08191953465826465
AU Rashid,middle,1761,293.5,343.83333333333337,0.8536112457586039
AU Rashid,powerplay,133,22.166666666666668,343.83333333333337,0.06446921958313136
Abdul Samad,death,8,1.3333333333333333,9.333333333333334,0.14285714285714285
Abdul Samad,middle,48,8.0,9.333333333333334,0.8571428571428571
Abdur Razzak,death,82,13.666666666666666,61.0,0.22404371584699453
Abdur Razzak,middle,204,34.0,61.0,0.5573770491803278
Abdur Razzak,powerplay,80,13.333333333333334,61.0,0.21857923497267762
Abhishek Sharma,death,50,8.333333333333334,66.83333333333333,0.12468827930174566
Abhishek Sharma,middle,274,45.666666666666664,66.83333333333333,0.683291770573566
Abhishek Sharma,powerplay,77,12.833333333333334,66.83333333333333,0.1920199501246883
Arshdeep Singh,death,990,165.0,483.0,0.3416149068322981
Arshdeep Singh,middle,446,74.33333333333333,483.0,0.1538992408557626
Arshdeep Singh,powerplay,1462,243.66666666666666,483.0,0.5044858523119392
Avesh Khan,death,686,114.33333333333333,317.1666666666667,0.36048344718864944
Avesh Khan,middle,559,93.16666666666667,317.1666666666667,0.29374671571203365
Avesh Khan,powerplay,658,109.66666666666667,317.1666666666667,0.34576983709931686
B Geeves,death,14,2.3333333333333335,10.5,0.22222222222222224
B Geeves,middle,16,2.6666666666666665,10.5,0.25396825396825395
B Geeves,powerplay,33,5.5,10.5,0.5238095238095238
B Kumar,death,1790,298.3333333333333,889.8333333333333,0.33526877692451773
B Kumar,middle,530,88.33333333333333,889.8333333333333,0.09926952612848848
B Kumar,powerplay,3019,503.1666666666667,889.8333333333333,0.5654616969469939
B Laughlin,death,98,16.333333333333332,38.33333333333333,0.42608695652173917
B Laughlin,middle,75,12.5,38.33333333333333,0.3260869565217392
B Laughlin,powerplay,57,9.5,38.33333333333333,0.24782608695652178
B Lee,death,339,56.5,185.0,0.3054054054054054
B Lee,middle,122,20.333333333333332,185.0,0.1099099099099099
B Lee,powerplay,649,108.16666666666667,185.0,0.5846846846846847
B Muzarabani,death,177,29.5,84.33333333333333,0.349802371541502
B Muzarabani,middle,49,8.166666666666666,84.33333333333333,0.09683794466403162
B Muzarabani,powerplay,280,46.666666666666664,84.33333333333333,0.5533596837944664
B Stanlake,death,28,4.666666666666667,55.16666666666667,0.08459214501510574
B Stanlake,middle,129,21.5,55.16666666666667,0.38972809667673713
B Stanlake,powerplay,174,29.0,55.16666666666667,0.525679758308157
BA Stokes,death,250,41.666666666666664,193.16666666666666,0.2157031924072476
BA Stokes,middle,647,107.83333333333333,193.16666666666666,0.5582398619499569
BA Stokes,powerplay,262,43.666666666666664,193.16666666666666,0.22605694564279552
BAW Mendis,death,192,32.0,140.16666666666669,0.22829964328180735
BAW Mendis,middle,508,84.66666666666667,140.16666666666669,0.6040428061831153
BAW Mendis,powerplay,141,23.5,140.16666666666669,0.16765755053507728
BB Sran,death,79,13.166666666666666,78.66666666666666,0.16737288135593223
BB Sran,middle,163,27.166666666666668,78.66666666666666,0.34533898305084754
BB Sran,powerplay,230,38.333333333333336,78.66666666666666,0.48728813559322043
BCJ Cutting,death,74,12.333333333333334,54.66666666666667,0.22560975609756095
BCJ Cutting,middle,194,32.333333333333336,54.66666666666667,0.5914634146341463
BCJ Cutting,powerplay,60,10.0,54.66666666666667,0.18292682926829268
BE Hendricks,death,102,17.0,54.33333333333333,0.3128834355828221
BE Hendricks,middle,78,13.0,54.33333333333333,0.23926380368098163
BE Hendricks,powerplay,146,24.333333333333332,54.33333333333333,0.44785276073619634
BJ Dwarshuis,death,71,11.833333333333334,41.5,0.285140562248996
BJ Dwarshuis,middle,81,13.5,41.5,0.3253012048192771
BJ Dwarshuis,powerplay,97,16.166666666666668,41.5,0.3895582329317269
BJ Hodge,death,13,2.1666666666666665,36.16666666666667,0.05990783410138248
BJ Hodge,middle,157,26.166666666666668,36.16666666666667,0.7235023041474654
BJ Hodge,powerplay,47,7.833333333333333,36.16666666666667,0.21658986175115202
BJ Rohrer,middle,6,1.0,1.0,1.0
BMAJ Mendis,death,14,2.3333333333333335,24.0,0.09722222222222222
BMAJ Mendis,middle,130,21.666666666666668,24.0,0.9027777777777778
BW Hilfenhaus,death,100,16.666666666666668,73.33333333333333,0.2272727272727273
BW Hilfenhaus,middle,63,10.5,73.33333333333333,0.1431818181818182
BW Hilfenhaus,powerplay,277,46.166666666666664,73.33333333333333,0.6295454545454545
C Bosch,death,122,20.333333333333332,64.16666666666666,0.31688311688311693
C Bosch,middle,202,33.666666666666664,64.16666666666666,0.5246753246753247
C Bosch,powerplay,61,10.166666666666666,64.16666666666666,0.15844155844155847
C Connolly,middle,24,4.0,6.333333333333334,0.631578947368421
C Connolly,powerplay,14,2.3333333333333335,6.333333333333334,0.3684210526315789
C Green,death,111,18.5,102.66666666666667,0.18019480519480519
C Green,middle,357,59.5,102.66666666666667,0.5795454545454545
C Green,powerplay,148,24.666666666666668,102.66666666666667,0.24025974025974026
C Munro,death,8,1.3333333333333333,15.833333333333334,0.08421052631578947
C Munro,middle,87,14.5,15.833333333333334,0.9157894736842105
C Sakariya,death,123,20.5,72.16666666666667,0.2840646651270208
C Sakariya,middle,116,19.333333333333332,72.16666666666667,0.2678983833718244
C Sakariya,powerplay,194,32.333333333333336,72.16666666666667,0.44803695150115475
C de Grandhomme,death,55,9.166666666666666,62.83333333333333,0.14588859416445624
C de Grandhomme,middle,297,49.5,62.83333333333333,0.7877984084880637
C de Grandhomme,powerplay,25,4.166666666666667,62.83333333333333,0.06631299734748011
CH Gayle,death,172,28.666666666666668,125.33333333333334,0.22872340425531915
CH Gayle,middle,463,77.16666666666667,125.33333333333334,0.6156914893617021
CH Gayle,powerplay,117,19.5,125.33333333333334,0.1555851063829787
CH Morris,death,725,120.83333333333333,336.6666666666667,0.3589108910891089
CH Morris,middle,495,82.5,336.6666666666667,0.24504950495049505
CH Morris,powerplay,800,133.33333333333334,336.6666666666667,0.39603960396039606
CJ Anderson,death,158,26.333333333333332,83.16666666666666,0.31663326653306617
CJ Anderson,middle,205,34.166666666666664,83.16666666666666,0.41082164328657317
CJ Anderson,powerplay,136,22.666666666666668,83.16666666666666,0.27254509018036077
CJ Dala,death,18,3.0,19.5,0.15384615384615385
CJ Dala,middle,51,8.5,19.5,0.4358974358974359
CJ Dala,powerplay,48,8.0,19.5,0.41025641025641024
CJ Green,death,5,0.8333333333333334,6.833333333333334,0.12195121951219512
CJ Green,middle,18,3.0,6.833333333333334,0.4390243902439024
CJ Green,powerplay,18,3.0,6.833333333333334,0.4390243902439024
CJ Jordan,death,881,146.83333333333334,352.5,0.41654846335697404
CJ Jordan,middle,625,104.16666666666667,352.5,0.2955082742316785
CJ Jordan,powerplay,609,101.5,352.5,0.28794326241134754
CJ McKay,death,26,4.333333333333333,24.0,0.18055555555555555
CJ McKay,middle,63,10.5,24.0,0.4375
CJ McKay,powerplay,55,9.166666666666666,24.0,0.3819444444444444
CK Kapugedera,death,6,1.0,2.833333333333333,0.35294117647058826
CK Kapugedera,middle,11,1.8333333333333333,2.833333333333333,0.6470588235294118
CK Langeveldt,death,72,12.0,35.33333333333333,0.339622641509434
CK Langeveldt,middle,42,7.0,35.33333333333333,0.19811320754716985
CK Langeveldt,powerplay,98,16.333333333333332,35.33333333333333,0.46226415094339623
CL White,middle,72,12.0,12.0,1.0
CR Brathwaite,death,170,28.333333333333332,118.33333333333333,0.23943661971830985
CR Brathwaite,middle,448,74.66666666666667,118.33333333333333,0.6309859154929578
CR Brathwaite,powerplay,92,15.333333333333334,118.33333333333333,0.12957746478873242
CR Woakes,death,208,34.666666666666664,135.33333333333334,0.25615763546798026
CR Woakes,middle,189,31.5,135.33333333333334,0.23275862068965517
CR Woakes,powerplay,415,69.16666666666667,135.33333333333334,0.5110837438423645
CRD Fernando,death,114,19.0,73.16666666666667,0.2596810933940774
CRD Fernando,middle,133,22.166666666666668,73.16666666666667,0.30296127562642367
CRD Fernando,powerplay,192,32.0,73.16666666666667,0.4373576309794988
CV Varun,death,351,58.5,422.83333333333337,0.13835238470634606
CV Varun,middle,1714,285.6666666666667,422.83333333333337,0.6756011036657469
CV Varun,powerplay,472,78.66666666666667,422.83333333333337,0.18604651162790697
D Brevis,death,3,0.5,0.5,1.0
D Ferreira,death,12,2.0,8.0,0.25
D Ferreira,middle,36,6.0,8.0,0.75
D Madushanka,death,52,8.666666666666666,35.16666666666667,0.24644549763033172
D Madushanka,middle,35,5.833333333333333,35.16666666666667,0.1658767772511848
D Madushanka,powerplay,124,20.666666666666668,35.16666666666667,0.5876777251184834
D Pretorius,death,147,24.5,79.16666666666666,0.30947368421052635
D Pretorius,middle,286,47.666666666666664,79.16666666666666,0.6021052631578948
D Pretorius,powerplay,42,7.0,79.16666666666666,0.08842105263157896
D Wiese,death,98,16.333333333333332,96.83333333333333,0.1686746987951807
D Wiese,middle,376,62.666666666666664,96.83333333333333,0.6471600688468159
D Wiese,powerplay,107,17.833333333333332,96.83333333333333,0.18416523235800344
DA Warner,middle,1,0.16666666666666666,0.16666666666666666,1.0
DAJ Bracewell,death,69,11.5,33.5,0.34328358208955223
