venue,phase,four_modifier,six_modifier,wicket_modifier
AMI Stadium,death,1.1594283745426501,1.2546610526961628,0.7138064044918179
AMI Stadium,middle,0.8552018634390295,1.3033017822910722,1.37547893762186
AMI Stadium,powerplay,1.0317114056492704,1.5672810651115803,0.7448588097737165
Adelaide Oval,death,0.9484311698723359,0.9231776137738075,0.9177607774216896
Adelaide Oval,middle,1.201893526699672,0.9980763718137464,0.9859532961843201
Adelaide Oval,powerplay,1.0105004884652649,1.1823455720081284,0.8090162383774592
"Arnos Vale Ground, Kingstown",death,0.8620689655172407,0.9704766717945592,1.0771523488934562
"Arnos Vale Ground, Kingstown",middle,0.7098215831203497,1.164638359774434,0.7878061691519468
"Arnos Vale Ground, Kingstown",powerplay,0.8797646043631507,0.6622516556291393,1.5069706171784913
"Arnos Vale Ground, Kingstown, St Vincent",powerplay,0.9507376647355826,0.8403361344537819,1.4834583018182452
Arun Jaitley Stadium,death,0.9105521622301114,1.1308039509111434,0.9237649948083878
Arun Jaitley Stadium,middle,0.9170142897551844,1.061211362964911,1.0481835543659705
Arun Jaitley Stadium,powerplay,1.0440505256992598,1.2223779822715186,0.9270475652265772
"Arun Jaitley Stadium, Delhi",death,1.1506460564689573,1.3341285212762104,0.8531236387123915
"Arun Jaitley Stadium, Delhi",middle,1.125017751566338,1.5195856768678428,0.9308672505082121
"Arun Jaitley Stadium, Delhi",powerplay,1.254078300064927,1.4807703578227756,0.9486633192542665
Barabati Stadium,death,1.146093139661533,1.0212824701470222,1.0148796721731699
Barabati Stadium,middle,1.0502382083511141,0.5222529701606169,0.9579992919926916
Barabati Stadium,powerplay,0.9758366367260084,0.6179757976425072,0.9121680813370014
"Barabati Stadium, Cuttack",death,1.0152105434991607,0.9856840649944537,0.8421311513667518
"Barabati Stadium, Cuttack",middle,1.007373013517148,1.092955716055037,1.2830649613003997
"Barabati Stadium, Cuttack",powerplay,0.8203059294550722,1.2510922798248998,1.3948811977537778
Barsapara Cricket Stadium,death,0.8608393783339017,0.8217174739282389,1.003098603704097
Barsapara Cricket Stadium,middle,0.9665614140431157,0.8707058213551732,0.8145557412884149
Barsapara Cricket Stadium,powerplay,0.8817984301395211,0.8633164607792364,1.4627923458540024
"Barsapara Cricket Stadium, Guwahati",death,1.0436392639321452,1.241229467036864,0.8002950621122911
"Barsapara Cricket Stadium, Guwahati",middle,1.1648566361531076,1.1144286369551784,1.09762458090755
"Barsapara Cricket Stadium, Guwahati",powerplay,1.2202568801896163,1.1859102948045828,1.2215913321401877
Bay Oval,death,0.9219470241499861,1.0770801673499613,1.0299413069602217
Bay Oval,middle,0.7612567327691118,1.8,0.8065799868577455
Bay Oval,powerplay,1.1137271919156833,1.2810711385859963,1.106610767480885
"Bay Oval, Mount Maunganui",death,0.840546456050481,0.9443685342874348,1.3421017820360188
"Bay Oval, Mount Maunganui",middle,1.1140934889457852,1.0767511739457176,1.167182485533544
"Bay Oval, Mount Maunganui",powerplay,0.9398329569009443,0.7995026636000868,1.0231603199642325
"Beausejour Stadium, Gros Islet",death,0.8981851892003676,1.0558585191127947,1.127637261533424
"Beausejour Stadium, Gros Islet",middle,0.9433604779644342,1.13042696513771,0.7238723872387244
"Beausejour Stadium, Gros Islet",powerplay,0.9662460080462875,0.5554747800444559,0.9830095510832115
Bellerive Oval,death,0.9297792850917784,1.1066320553023916,1.0405565005999209
Bellerive Oval,middle,0.991628974236409,1.2432886298818349,1.3734423947445262
Bellerive Oval,powerplay,1.2358745564005922,0.9882918053562706,1.3131259511916897
"Bellerive Oval, Hobart",death,1.2114178392156216,1.0013791311338516,0.8919055719427893
"Bellerive Oval, Hobart",middle,1.020571647742776,1.4537136513166922,1.4639341747679595
"Bellerive Oval, Hobart",powerplay,1.1055325367957263,1.2444141876955321,1.0588413214759107
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,death,1.1303644577160137,1.0437581646713554,0.7810752516376421
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,middle,0.9722634944119767,0.8230262277331971,1.1087707755547132
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,powerplay,0.941673632186032,0.9219367142889393,0.9322285510961771
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",death,0.9966946524615882,0.9373080629266981,0.9516411621502329
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",middle,1.0341118018848283,1.009696201156257,1.0588922528616493
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",powerplay,1.0374792366792978,1.150914563640921,0.9327803891999412
"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",death,0.8196721311475407,0.9227483108866297,0.9219248871788565
"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",middle,1.0072457139327038,1.1592140265761743,1.4021041448407132
"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",powerplay,0.9812022389778807,1.0219415889951151,1.0287746937605753
Boland Park,death,1.1636501482130235,0.7677950175235427,0.843095145444548
Boland Park,middle,0.7899997123089177,0.7106739258406692,1.0976273506747654
Boland Park,powerplay,1.0135033087000271,0.7941202156522535,0.9619173584559294
"Boland Park, Paarl",death,0.8998012560495966,0.912091932347724,0.8274812746466276
"Boland Park, Paarl",middle,0.940438414190836,1.0460397862157407,0.6451612903225811
"Boland Park, Paarl",powerplay,1.0543210734828237,1.1853472040857789,0.9961151796729396
Brabourne Stadium,death,1.1135250348208323,0.9206980690361931,1.0671348790028574
Brabourne Stadium,middle,1.046991704624255,0.8328166690134997,1.0261279338943077
Brabourne Stadium,powerplay,1.3122936551140245,0.5065504939755078,0.6498314606402134
"Brabourne Stadium, Mumbai",death,1.1626656375562638,0.9982525629281513,1.0725934415051683
"Brabourne Stadium, Mumbai",middle,1.1957955139249739,1.1127540238023068,0.9522672362930076
"Brabourne Stadium, Mumbai",powerplay,1.16959059179075,1.0983549008700864,0.9323447953566142
"Brian Lara Stadium, Tarouba, Trinidad",death,0.8145218035683067,1.005766822604347,1.1287353446179629
"Brian Lara Stadium, Tarouba, Trinidad",middle,0.8014603006831728,1.358435089745129,1.0599375404615503
"Brian Lara Stadium, Tarouba, Trinidad",powerplay,0.8428103681036324,1.8,1.2537875056014087
"Brisbane Cricket Ground, Woolloongabba",death,1.0187445968784794,0.9971892602922878,1.096957619521613
"Brisbane Cricket Ground, Woolloongabba",middle,1.21561705882029,0.9283469107997774,1.2266877611785827
"Brisbane Cricket Ground, Woolloongabba",powerplay,0.7831409885787581,0.8289912370876232,0.8467282324362708
"Brisbane Cricket Ground, Woolloongabba, Brisbane",death,0.8346322335067018,0.8428670227955898,1.206397241753388
"Brisbane Cricket Ground, Woolloongabba, Brisbane",middle,1.1685174355404921,0.7450908097238509,1.040432282430901
"Brisbane Cricket Ground, Woolloongabba, Brisbane",powerplay,0.9859040160230543,0.8335237659963441,0.9442652083311294
Buffalo Park,death,1.3436108239858096,0.6965359424491334,1.300161101347394
Buffalo Park,middle,0.7116542207354333,0.595731939392763,0.8614951181216783
Buffalo Park,powerplay,0.7653071413732614,1.267259050838436,0.9571566749000123
Carrara Oval,death,0.8822091821335949,0.6990752358729078,1.2774311967510983
Carrara Oval,middle,0.9006538389853622,0.8125273546457874,1.5371702307845476
Carrara Oval,powerplay,1.0653881494904611,0.8703903268225404,1.0669617582818356
"Cazaly's Stadium, Cairns",death,1.0569641682539352,0.7310084021309662,0.9733723697615702
"Cazaly's Stadium, Cairns",middle,1.1152631700497484,0.8908580596892295,1.4604339554834596
"Cazaly's Stadium, Cairns",powerplay,0.9862435149861395,1.1827827108905713,0.8989346742713139
Central Broward Regional Park Stadium Turf Ground,death,0.6928788248078332,1.0513201898572282,1.1293999084756874
Central Broward Regional Park Stadium Turf Ground,middle,0.8176582844167453,1.1638079092624563,0.9177240801003184
