player,ipl_matches,t20i_matches,played_both_t20i_and_ipl,ipl_only_50_plus,eligible
Ankit Sharma,22.0,0.0,False,False,False
Ankit Soni,7.0,0.0,False,False,False
Anmolpreet Singh,9.0,0.0,False,False,False
Anuj Rawat,24.0,0.0,False,False,False
Anureet Singh,23.0,0.0,False,False,False
Anwar Ali,0.0,15.0,False,False,False
Arafat Minhas,0.0,2.0,False,False,False
Arafat Sunny,0.0,9.0,False,False,False
Ariful Haque,0.0,8.0,False,False,False
Arjun Tendulkar,6.0,0.0,False,False,False
Arshad Iqbal,0.0,2.0,False,False,False
Arshad Khan,26.0,0.0,False,False,False
Arshad Khan (2),1.0,0.0,False,False,False
Arshdeep Singh,97.0,71.0,True,False,True
Asad Ali,0.0,2.0,False,False,False
Asad Shafiq,0.0,10.0,False,False,False
Ashok Sharma,6.0,0.0,False,False,False
Ashutosh Sharma,32.0,0.0,False,False,False
Ashwani Kumar,10.0,0.0,False,False,False
Asif Ali,0.0,49.0,False,False,False
Atharva Taide,10.0,0.0,False,False,False
Auqib Nabi,5.0,0.0,False,False,False
Avesh Khan,82.0,22.0,True,False,True
Awais Zia,0.0,5.0,False,False,False
Azam Khan,0.0,11.0,False,False,False
Azhar Mahmood,23.0,0.0,False,False,False
Azmatullah Omarzai,20.0,0.0,False,False,False
B Akhil,15.0,0.0,False,False,False
B Chipli,23.0,0.0,False,False,False
B Evans,0.0,17.0,False,False,False
B Fernando,0.0,22.0,False,False,False
B Geeves,2.0,1.0,True,False,True
B Indrajith,3.0,0.0,False,False,False
B Kumar,206.0,83.0,True,False,True
B Laughlin,9.0,3.0,True,False,True
B Lee,38.0,25.0,True,False,True
B Mavuta,0.0,5.0,False,False,False
B Muzarabani,2.0,53.0,True,False,True
B Sai Sudharsan,57.0,1.0,True,False,True
B Stanlake,6.0,18.0,True,False,True
B Sumanth,5.0,0.0,False,False,False
B White,0.0,22.0,False,False,False
BA Bhatt,17.0,0.0,False,False,False
BA Carse,0.0,14.0,False,False,False
BA King,0.0,74.0,False,False,False
BA Parchment,0.0,1.0,False,False,False
BA Stokes,45.0,41.0,True,False,True
BAW Mendis,10.0,36.0,True,False,True
BB McCullum,109.0,68.0,True,False,True
BB Samantray,9.0,0.0,False,False,False
BB Sran,24.0,2.0,True,False,True
BC Fortuin,0.0,26.0,False,False,False
BCJ Cutting,21.0,4.0,True,False,True
BE Hendricks,7.0,18.0,True,False,True
BF Calitz,0.0,4.0,False,False,False
BG Lister,0.0,10.0,False,False,False
BJ Bennett,0.0,38.0,False,False,False
BJ Diamanti,0.0,1.0,False,False,False
BJ Dwarshuis,1.0,15.0,True,False,True
BJ Haddin,1.0,34.0,True,False,True
BJ Hodge,66.0,15.0,True,False,True
BJ Jacobs,0.0,11.0,False,False,False
BJ McCarthy,0.0,35.0,False,False,False
BJ Rohrer,8.0,1.0,True,False,True
BJ Watling,0.0,5.0,False,False,False
BKG Mendis,1.0,96.0,True,False,True
BM Duckett,0.0,21.0,False,False,False
BM Tickner,0.0,16.0,False,False,False
BM Wheeler,0.0,6.0,False,False,False
BMAJ Mendis,3.0,22.0,True,False,True
BOP Fernando,0.0,6.0,False,False,False
BR Dunk,3.0,5.0,True,False,True
BR McDermott,0.0,24.0,False,False,False
BR Sharath,1.0,0.0,False,False,False
BRM Taylor,0.0,40.0,False,False,False
BT Foakes,0.0,1.0,False,False,False
BV Sears,0.0,24.0,False,False,False
BV Vitori,0.0,11.0,False,False,False
BW Hilfenhaus,17.0,7.0,True,False,True
Babar Azam,0.0,130.0,False,False,False
Basil Thampi,25.0,0.0,False,False,False
Bilawal Bhatti,0.0,8.0,False,False,False
Bipul Sharma,33.0,0.0,False,False,False
Brijesh Sharma,13.0,0.0,False,False,False
C Bosch,9.0,20.0,True,False,True
C Campher,0.0,40.0,False,False,False
C Connolly,14.0,10.0,True,False,True
C Esterhuizen,0.0,5.0,False,False,False
C Ganapathy,1.0,0.0,False,False,False
C Green,43.0,23.0,True,False,True
C Jonker,0.0,2.0,False,False,False
C Karunaratne,0.0,38.0,False,False,False
C Kieswetter,0.0,24.0,False,False,False
C Madan,1.0,0.0,False,False,False
C Madande,0.0,26.0,False,False,False
C Munro,13.0,65.0,True,False,True
C Nanda,3.0,0.0,False,False,False
C Olphert,0.0,2.0,False,False,False
C Sakariya,20.0,2.0,True,False,True
C Wickramasinghe,0.0,3.0,False,False,False
C Zhuwao,0.0,4.0,False,False,False
C de Grandhomme,25.0,41.0,True,False,True
CA Ingram,15.0,9.0,True,False,True
CA Lynn,42.0,17.0,True,False,True
CA Pujara,30.0,0.0,False,False,False
CA Young,0.0,33.0,False,False,False
CAK Rajitha,0.0,17.0,False,False,False
CAK Walton,0.0,16.0,False,False,False
CB Mpofu,0.0,24.0,False,False,False
CBRLS Kumara,0.0,21.0,False,False,False
CD Barnwell,0.0,6.0,False,False,False
CD McMillan,0.0,7.0,False,False,False
CE McConchie,0.0,18.0,False,False,False
CH Gayle,141.0,78.0,True,False,True
CH Morris,81.0,22.0,True,False,True
CJ Anderson,30.0,30.0,True,False,True
CJ Bowes,0.0,8.0,False,False,False
CJ Boyce,0.0,7.0,False,False,False
CJ Chibhabha,0.0,27.0,False,False,False
CJ Dala,1.0,10.0,True,False,True
CJ Ferguson,9.0,3.0,True,False,True
CJ Green,1.0,1.0,True,False,True
CJ Jordan,34.0,90.0,True,False,True
CJ McKay,2.0,6.0,True,False,True
CK Coventry,0.0,13.0,False,False,False
CK Kapugedera,5.0,40.0,True,False,True
CK Langeveldt,7.0,8.0,True,False,True
CK Tshuma,0.0,1.0,False,False,False
CL Cairns,0.0,2.0,False,False,False
CL White,47.0,47.0,True,False,True
CM Gautam,13.0,0.0,False,False,False
CMW Read,0.0,1.0,False,False,False
CP Schofield,0.0,4.0,False,False,False
CR Brathwaite,16.0,36.0,True,False,True
CR Ervine,0.0,43.0,False,False,False
CR Woakes,21.0,32.0,True,False,True
CRD Fernando,10.0,15.0,True,False,True
CS Baugh,0.0,3.0,False,False,False
CS Martin,0.0,5.0,False,False,False
CT Bancroft,0.0,1.0,False,False,False
CT Mumba,0.0,2.0,False,False,False
CT Mutombodzi,0.0,9.0,False,False,False
CT Tremlett,0.0,1.0,False,False,False
CU Jayasinghe,0.0,5.0,False,False,False
CV Varun,94.0,40.0,True,False,True
D Bishoo,0.0,7.0,False,False,False
D Brevis,27.0,27.0,True,False,True
D Cleaver,0.0,7.0,False,False,False
D Ferreira,18.0,15.0,True,False,True
D Forrester,0.0,5.0,False,False,False
D Foxcroft,0.0,6.0,False,False,False
D Ganga,0.0,1.0,False,False,False
D Gough,0.0,2.0,False,False,False
D Jansen,1.0,0.0,False,False,False
D Kalyankrishna,3.0,0.0,False,False,False
D Madushanka,1.0,18.0,True,False,True
D Mongia,0.0,1.0,False,False,False
D Myers,0.0,23.0,False,False,False
D Padikkal,90.0,2.0,True,False,True
D Paterson,0.0,8.0,False,False,False
D Pretorius,7.0,30.0,True,False,True
D Ramdin,0.0,67.0,False,False,False
D Salunkhe,6.0,0.0,False,False,False
D Wiese,18.0,19.0,True,False,True
D du Preez,2.0,0.0,False,False,False
DA Miller,152.0,128.0,True,False,True
DA Payne,2.0,0.0,False,False,False
DA Warner,184.0,105.0,True,False,True
DAJ Bracewell,1.0,20.0,True,False,True
DAS Gunaratne,0.0,12.0,False,False,False
DB Das,31.0,0.0,False,False,False
DB Ravi Teja,32.0,0.0,False,False,False
DBL Powell,0.0,5.0,False,False,False
DC Drakes,0.0,10.0,False,False,False
DC Thomas,0.0,12.0,False,False,False
DE Bernard,0.0,1.0,False,False,False
DE Bollinger,27.0,9.0,True,False,True
DG Brownlie,0.0,5.0,False,False,False
DG Nalkande,6.0,0.0,False,False,False
DH Yagnik,25.0,0.0,False,False,False
DJ Bravo,160.0,90.0,True,False,True
DJ Harris,4.0,0.0,False,False,False
DJ Hooda,125.0,20.0,True,False,True
DJ Hussey,64.0,39.0,True,False,True
DJ Jacobs,7.0,0.0,False,False,False
DJ Malan,1.0,61.0,True,False,True
DJ Mitchell,15.0,90.0,True,False,True
DJ Muthuswami,6.0,0.0,False,False,False
DJ Thornely,6.0,0.0,False,False,False
DJ Vilas,0.0,1.0,False,False,False
DJ Willey,11.0,42.0,True,False,True
DJG Sammy,22.0,65.0,True,False,True
DJM Short,7.0,22.0,True,False,True
DK Butler,0.0,1.0,False,False,False
DL Chahar,103.0,24.0,True,False,True
DL Maddy,0.0,4.0,False,False,False
DL Vettori,34.0,33.0,True,False,True
DM Bravo,1.0,26.0,True,False,True
DM Richards,0.0,1.0,False,False,False
DM de Silva,0.0,40.0,False,False,False
DN Wellalage,0.0,15.0,False,False,False
DNT Zoysa,3.0,0.0,False,False,False
DO Christian,0.0,2.0,False,False,False
DP Conway,29.0,63.0,True,False,True
