player,balls_faced_events,legal_balls_bowled,t20i_matches,ipl_matches,played_both_t20i_and_ipl,ipl_only_50_plus,eligible,can_bowl,role
TD Paine,48.0,0.0,10.0,2.0,True,False,True,False,Batter
Avesh Khan,47.0,1903.0,22.0,82.0,True,False,True,True,Bowler
S Aravind,47.0,741.0,1.0,38.0,True,False,True,True,Bowler
JJ van der Wath,47.0,169.0,7.0,3.0,True,False,True,True,Bowler
DR Martyn,47.0,0.0,4.0,1.0,True,False,True,False,Batter
GB Hogg,46.0,631.0,15.0,21.0,True,False,True,True,Bowler
PP Ojha,45.0,1794.0,6.0,92.0,True,False,True,True,Bowler
XC Bartlett,45.0,406.0,18.0,13.0,True,False,True,True,Bowler
Abdur Razzak,45.0,366.0,24.0,1.0,True,False,True,True,Bowler
PSP Handscomb,45.0,0.0,2.0,2.0,True,False,True,False,Batter
Noor Ahmad,43.0,968.0,0.0,51.0,False,True,True,True,Bowler
Navdeep Saini,41.0,799.0,10.0,33.0,True,False,True,True,Bowler
C Sakariya,41.0,433.0,2.0,20.0,True,False,True,True,Bowler
JR Hazlewood,40.0,1968.0,56.0,52.0,True,False,True,True,Bowler
NJ Maddinson,39.0,0.0,6.0,3.0,True,False,True,False,Batter
MA Wood,38.0,684.0,35.0,5.0,True,False,True,True,Bowler
S Kaul,35.0,1189.0,3.0,55.0,True,False,True,True,Bowler
CJ McKay,35.0,144.0,6.0,2.0,True,False,True,True,Bowler
MM Patel,34.0,1217.0,3.0,63.0,True,False,True,True,Bowler
M Markande,34.0,725.0,1.0,40.0,True,False,True,True,Bowler
JW Hastings,34.0,210.0,9.0,3.0,True,False,True,True,Bowler
B Muzarabani,32.0,506.0,53.0,2.0,True,False,True,True,Bowler
LE Plunkett,32.0,491.0,21.0,7.0,True,False,True,True,Bowler
J Theron,32.0,313.0,9.0,10.0,True,False,True,True,Bowler
M Prasidh Krishna,31.0,1663.0,5.0,78.0,True,False,True,True,Bowler
TU Deshpande,31.0,1011.0,2.0,53.0,True,False,True,True,Bowler
SW Tait,31.0,735.0,21.0,21.0,True,False,True,True,Bowler
SB Jakati,30.0,962.0,0.0,59.0,False,True,True,True,Bowler
Joginder Sharma,30.0,305.0,4.0,16.0,True,False,True,True,Bowler
M Ntini,29.0,304.0,10.0,9.0,True,False,True,True,Bowler
MJ Henry,28.0,588.0,38.0,9.0,True,False,True,True,Bowler
TS Mills,28.0,446.0,15.0,10.0,True,False,True,True,Bowler
KJ Abbott,28.0,440.0,20.0,5.0,True,False,True,True,Bowler
JA Duffy,25.0,566.0,44.0,6.0,True,False,True,True,Bowler
DE Bollinger,24.0,676.0,9.0,27.0,True,False,True,True,Bowler
Parvez Rasool,24.0,212.0,1.0,11.0,True,False,True,True,Bowler
Mukesh Kumar,23.0,950.0,14.0,42.0,True,False,True,True,Bowler
SS Cottrell,23.0,796.0,42.0,6.0,True,False,True,True,Bowler
M Muralitharan,22.0,1570.0,12.0,66.0,True,False,True,True,Bowler
T Shamsi,21.0,1065.0,67.0,5.0,True,False,True,True,Bowler
BAW Mendis,21.0,841.0,36.0,10.0,True,False,True,True,Bowler
DP Nannes,20.0,770.0,15.0,29.0,True,False,True,True,Bowler
JP Behrendorff,19.0,615.0,17.0,17.0,True,False,True,True,Bowler
RJW Topley,19.0,553.0,32.0,6.0,True,False,True,True,Bowler
SE Bond,19.0,452.0,19.0,8.0,True,False,True,True,Bowler
M Pathirana,18.0,858.0,22.0,33.0,True,False,True,True,Bowler
SC Kuggeleijn,18.0,258.0,18.0,2.0,True,False,True,True,Bowler
T Thushara,17.0,209.0,5.0,6.0,True,False,True,True,Bowler
T Henderson,17.0,38.0,1.0,2.0,True,False,True,False,Batter
Umran Malik,16.0,558.0,8.0,26.0,True,False,True,True,Bowler
BE Hendricks,16.0,326.0,18.0,7.0,True,False,True,True,Bowler
JL Pattinson,16.0,269.0,4.0,10.0,True,False,True,True,Bowler
RW Price,16.0,264.0,12.0,1.0,True,False,True,True,Bowler
CJ Dala,16.0,117.0,10.0,1.0,True,False,True,True,Bowler
KT Maphaka,15.0,289.0,17.0,4.0,True,False,True,True,Bowler
LB Williams,15.0,180.0,19.0,2.0,True,False,True,True,Bowler
P Awana,14.0,727.0,2.0,33.0,True,False,True,True,Bowler
FH Edwards,14.0,470.0,26.0,6.0,True,False,True,True,Bowler
GD McGrath,14.0,256.0,2.0,14.0,True,False,True,True,Bowler
SM Harwood,14.0,103.0,3.0,3.0,True,False,True,True,Bowler
CRD Fernando,13.0,439.0,15.0,10.0,True,False,True,True,Bowler
B Laughlin,13.0,230.0,3.0,9.0,True,False,True,True,Bowler
BB Sran,12.0,472.0,2.0,24.0,True,False,True,True,Bowler
AA Noffke,12.0,55.0,2.0,1.0,True,False,True,False,Batter
KK Ahmed,11.0,1818.0,18.0,76.0,True,False,True,True,Bowler
N Thushara,11.0,357.0,25.0,8.0,True,False,True,True,Bowler
Shoaib Akhtar,11.0,217.0,13.0,3.0,True,False,True,True,Bowler
KAJ Roach,11.0,172.0,11.0,2.0,True,False,True,True,Bowler
E Malinga,10.0,496.0,11.0,22.0,True,False,True,True,Bowler
R Sai Kishore,10.0,409.0,1.0,28.0,True,False,True,True,Bowler
CK Langeveldt,10.0,212.0,8.0,7.0,True,False,True,True,Bowler
N Burger,9.0,381.0,7.0,18.0,True,False,True,True,Bowler
Mohammad Asif,9.0,308.0,10.0,8.0,True,False,True,True,Bowler
SH Johnson,9.0,301.0,8.0,12.0,True,False,True,True,Bowler
L Wood,9.0,187.0,15.0,2.0,True,False,True,True,Bowler
O Thomas,8.0,370.0,21.0,4.0,True,False,True,True,Bowler
B Stanlake,8.0,331.0,18.0,6.0,True,False,True,True,Bowler
S Joseph,8.0,267.0,20.0,1.0,True,False,True,True,Bowler
GHS Garton,8.0,108.0,1.0,5.0,True,False,True,True,Bowler
BW Hilfenhaus,7.0,440.0,7.0,17.0,True,False,True,True,Bowler
D Madushanka,7.0,211.0,18.0,1.0,True,False,True,True,Bowler
S Randiv,6.0,241.0,7.0,8.0,True,False,True,True,Bowler
RJ Gleeson,6.0,141.0,6.0,3.0,True,False,True,True,Bowler
T Natarajan,5.0,1525.0,4.0,74.0,True,False,True,True,Bowler
HF Gurney,5.0,197.0,2.0,8.0,True,False,True,True,Bowler
SSB Magala,5.0,60.0,6.0,2.0,True,False,True,True,Bowler
V Viyaskanth,5.0,56.0,1.0,3.0,True,False,True,False,Batter
S Tyagi,4.0,175.0,1.0,14.0,True,False,True,True,Bowler
RP Meredith,3.0,488.0,5.0,18.0,True,False,True,True,Bowler
CJ Green,3.0,41.0,1.0,1.0,True,False,True,False,Batter
M de Lange,2.0,236.0,6.0,5.0,True,False,True,True,Bowler
MP Yadav,2.0,171.0,3.0,10.0,True,False,True,True,Bowler
K Santokie,0.0,219.0,12.0,2.0,True,False,True,True,Bowler
YA Abdulla,0.0,217.0,2.0,11.0,True,False,True,True,Bowler
S Sandeep Warrier,0.0,169.0,1.0,10.0,True,False,True,True,Bowler
SM Boland,0.0,92.0,3.0,2.0,True,False,True,True,Bowler
W O'Rourke,0.0,80.0,7.0,3.0,True,False,True,True,Bowler
B Geeves,0.0,63.0,1.0,2.0,True,False,True,True,Bowler
A Nel,0.0,38.0,2.0,1.0,True,False,True,False,Batter
