player,balls_faced_events,legal_balls_bowled,t20i_matches,ipl_matches,played_both_t20i_and_ipl,ipl_only_50_plus,eligible,can_bowl,role
JJ Roy,1331.0,0.0,63.0,21.0,True,False,True,False,Batter
Mandeep Singh,1314.0,12.0,3.0,111.0,True,False,True,False,Batter
AD Mathews,1296.0,1467.0,83.0,49.0,True,False,True,True,All-rounder
TM Head,1284.0,79.0,45.0,53.0,True,False,True,True,All-rounder
AD Hales,1282.0,0.0,72.0,6.0,True,False,True,False,Batter
PD Salt,1266.0,0.0,53.0,40.0,True,False,True,False,Batter
MK Tiwary,1259.0,40.0,3.0,98.0,True,False,True,False,Batter
DJ Hooda,1254.0,420.0,20.0,125.0,True,False,True,True,All-rounder
R Parag,1218.0,332.0,9.0,97.0,True,False,True,True,All-rounder
KK Nair,1212.0,0.0,0.0,86.0,False,True,True,False,Batter
MDKJ Perera,1197.0,0.0,88.0,2.0,True,False,True,False,Batter
KP Pietersen,1193.0,195.0,37.0,36.0,True,False,True,True,All-rounder
Shoaib Malik,1176.0,318.0,108.0,7.0,True,False,True,True,All-rounder
PP Shaw,1171.0,0.0,1.0,79.0,True,False,True,False,Batter
E Lewis,1131.0,0.0,56.0,27.0,True,False,True,False,Batter
SS Tiwary,1122.0,0.0,0.0,92.0,False,True,True,False,Batter
CL White,1121.0,72.0,47.0,47.0,True,False,True,True,All-rounder
NV Ojha,1120.0,0.0,2.0,113.0,True,False,True,False,Batter
BKG Mendis,1103.0,0.0,96.0,1.0,True,False,True,False,Batter
BJ Hodge,1086.0,217.0,15.0,66.0,True,False,True,True,All-rounder
VR Iyer,1086.0,118.0,9.0,68.0,True,False,True,True,All-rounder
LS Livingstone,1083.0,728.0,55.0,51.0,True,False,True,True,All-rounder
MD Shanaka,1081.0,486.0,117.0,10.0,True,False,True,True,All-rounder
SC Ganguly,1080.0,261.0,0.0,59.0,False,True,True,True,All-rounder
TH David,1058.0,2.0,49.0,66.0,True,False,True,False,Batter
DJ Malan,1051.0,8.0,61.0,1.0,True,False,True,False,Batter
CA Lynn,1051.0,0.0,17.0,42.0,True,False,True,False,Batter
S Badrinath,1045.0,0.0,1.0,94.0,True,False,True,False,Batter
SP Narine,1039.0,5082.0,48.0,201.0,True,False,True,True,All-rounder
T Stubbs,1015.0,45.0,45.0,47.0,True,False,True,False,Batter
RK Singh,1002.0,7.0,37.0,72.0,True,False,True,False,Batter
SM Curran,994.0,1956.0,69.0,64.0,True,False,True,True,All-rounder
BA Stokes,963.0,1159.0,41.0,45.0,True,False,True,True,All-rounder
IK Pathan,961.0,2130.0,22.0,103.0,True,False,True,True,All-rounder
P Simran Singh,956.0,0.0,0.0,66.0,False,True,True,False,Batter
KM Jadhav,952.0,0.0,9.0,95.0,True,False,True,False,Batter
HM Amla,944.0,0.0,39.0,16.0,True,False,True,False,Batter
