bowler,phase,outcome,n,total_n,probability_raw,fallback_probability,probability
AF Milne,powerplay,Wd,14.0,380.0,0.03684210526315789,0.03486563072990943,0.03665386959332471
AF Milne,powerplay,Nb,1.0,380.0,0.002631578947368421,0.003769007093512122,0.002739905437477345
AJ Finch,death,0,4.0,6.0,0.6666666666666666,0.21696977459016392,0.27562589094796863
AJ Finch,death,1,1.0,6.0,0.16666666666666666,0.37083760245901637,0.3442066108339273
AJ Finch,death,2,0.0,6.0,0.0,0.08837090163934426,0.07684426229508197
AJ Finch,death,3,0.0,6.0,0.0,0.002651127049180328,0.002305327868852459
AJ Finch,death,4,1.0,6.0,0.16666666666666666,0.11151383196721311,0.11870767997148966
AJ Finch,death,6,0.0,6.0,0.0,0.07952100409836066,0.0691486992159658
AJ Finch,death,W,0.0,6.0,0.0,0.08016137295081967,0.06970554169636492
AJ Finch,death,Wd,0.0,6.0,0.0,0.04340420081967213,0.03774278332145403
AJ Finch,death,Nb,0.0,6.0,0.0,0.006570184426229508,0.005713203848895225
AJ Finch,middle,0,5.0,33.0,0.15151515151515152,0.2808889845966761,0.22240492306667184
AJ Finch,middle,1,15.0,33.0,0.45454545454545453,0.4414331678151601,0.4473606398987179
AJ Finch,middle,2,2.0,33.0,0.06060606060606061,0.06664217673287394,0.06391352149746517
AJ Finch,middle,3,0.0,33.0,0.0,0.002286430887717876,0.0012528388425851376
AJ Finch,middle,4,5.0,33.0,0.15151515151515152,0.08739739562221321,0.11638213458751408
AJ Finch,middle,6,4.0,33.0,0.12121212121212122,0.048281059991892986,0.08124989588596876
AJ Finch,middle,W,1.0,33.0,0.030303030303030304,0.04221980137819214,0.03683276787846145
AJ Finch,middle,Wd,1.0,33.0,0.030303030303030304,0.028171868666396434,0.02913527050213503
AJ Finch,middle,Nb,0.0,33.0,0.0,0.002679114308877179,0.001468007840480646
AJ Finch,powerplay,0,4.0,6.0,0.6666666666666666,0.4228881521678736,0.45468534971119445
AJ Finch,powerplay,1,1.0,6.0,0.16666666666666666,0.25764450947345025,0.24577783432473935
AJ Finch,powerplay,2,1.0,6.0,0.16666666666666666,0.04384827662845184,0.05986806663343638
AJ Finch,powerplay,3,0.0,6.0,0.0,0.005028429611245902,0.004372547488039915
AJ Finch,powerplay,4,0.0,6.0,0.0,0.15223269683107069,0.1323762581139745
AJ Finch,powerplay,6,0.0,6.0,0.0,0.040523771600022226,0.035238062260888894
AJ Finch,powerplay,W,0.0,6.0,0.0,0.03919952586446391,0.03408654422996862
AJ Finch,powerplay,Wd,0.0,6.0,0.0,0.03486563072990943,0.03031793976513864
AJ Finch,powerplay,Nb,0.0,6.0,0.0,0.003769007093512122,0.0032773974726192368
AJ Hosein,death,0,10.0,63.0,0.15873015873015872,0.21696977459016392,0.18134748527773356
AJ Hosein,death,1,33.0,63.0,0.5238095238095238,0.37083760245901637,0.4644029524112685
AJ Hosein,death,2,5.0,63.0,0.07936507936507936,0.08837090163934426,0.08286248607353175
AJ Hosein,death,3,0.0,63.0,0.0,0.002651127049180328,0.001029563902594302
AJ Hosein,death,4,1.0,63.0,0.015873015873015872,0.11151383196721311,0.053015080375616745
AJ Hosein,death,6,4.0,63.0,0.06349206349206349,0.07952100409836066,0.06971689479547988
AJ Hosein,death,W,8.0,63.0,0.12698412698412698,0.08016137295081967,0.10880053318478433
AJ Hosein,death,Wd,2.0,63.0,0.031746031746031744,0.04340420081967213,0.036273476046474615
AJ Hosein,death,Nb,0.0,63.0,0.0,0.006570184426229508,0.0025515279325163138
AJ Hosein,middle,0,168.0,671.0,0.2503725782414307,0.2808889845966761,0.25208939435143046
AJ Hosein,middle,1,331.0,671.0,0.4932935916542474,0.4414331678151601,0.49037598693756174
AJ Hosein,middle,2,36.0,671.0,0.05365126676602087,0.06664217673287394,0.05438211964741906
AJ Hosein,middle,3,1.0,671.0,0.0014903129657228018,0.002286430887717876,0.001535101597058671
AJ Hosein,middle,4,44.0,671.0,0.06557377049180328,0.08739739562221321,0.06680154124456895
AJ Hosein,middle,6,41.0,671.0,0.06110283159463487,0.048281059991892986,0.060381494233017884
AJ Hosein,middle,W,30.0,671.0,0.044709388971684055,0.04221980137819214,0.04456932778498971
AJ Hosein,middle,Wd,17.0,671.0,0.02533532041728763,0.028171868666396434,0.025494901190795862
AJ Hosein,middle,Nb,3.0,671.0,0.004470938897168405,0.002679114308877179,0.004370133013157648
AJ Hosein,powerplay,0,266.0,663.0,0.40120663650075417,0.4228881521678736,0.4024402931532218
AJ Hosein,powerplay,1,198.0,663.0,0.2986425339366516,0.25764450947345025,0.2963097871677639
AJ Hosein,powerplay,2,26.0,663.0,0.0392156862745098,0.04384827662845184,0.039479276052827986
AJ Hosein,powerplay,3,1.0,663.0,0.0015082956259426848,0.005028429611245902,0.0017085877445943613
AJ Hosein,powerplay,4,102.0,663.0,0.15384615384615385,0.15223269683107069,0.15375434974856733
