batter,phase,outcome,n,total_n,probability_raw,fallback_probability,probability
AD Hales,middle,Nb,2.0,491.0,0.004073319755600814,0.002679114308877179,0.003968294863192255
AD Hales,powerplay,0,286.0,713.0,0.4011220196353436,0.4228881521678736,0.40227825509523896
AD Hales,powerplay,1,181.0,713.0,0.2538569424964937,0.25764450947345025,0.2540581412734901
AD Hales,powerplay,2,39.0,713.0,0.0546984572230014,0.04384827662845184,0.05412208640788589
AD Hales,powerplay,3,5.0,713.0,0.0070126227208976155,0.005028429611245902,0.0069072206964805255
AD Hales,powerplay,4,124.0,713.0,0.17391304347826086,0.15223269683107069,0.17276136503750708
AD Hales,powerplay,6,32.0,713.0,0.04488078541374474,0.040523771600022226,0.04464933713678737
AD Hales,powerplay,W,27.0,713.0,0.037868162692847124,0.03919952586446391,0.0379388858360937
AD Hales,powerplay,Wd,15.0,713.0,0.021037868162692847,0.03486563072990943,0.021772410662943397
AD Hales,powerplay,Nb,4.0,713.0,0.005610098176718092,0.003769007093512122,0.0055122978535730215
AD Mascarenhas,death,0,9.0,80.0,0.1125,0.21696977459016392,0.14732325819672132
AD Mascarenhas,death,1,38.0,80.0,0.475,0.37083760245901637,0.44027920081967215
AD Mascarenhas,death,2,13.0,80.0,0.1625,0.08837090163934426,0.13779030054644809
AD Mascarenhas,death,3,0.0,80.0,0.0,0.002651127049180328,0.0008837090163934426
AD Mascarenhas,death,4,7.0,80.0,0.0875,0.11151383196721311,0.09550461065573772
AD Mascarenhas,death,6,1.0,80.0,0.0125,0.07952100409836066,0.03484033469945356
AD Mascarenhas,death,W,7.0,80.0,0.0875,0.08016137295081967,0.08505379098360656
AD Mascarenhas,death,Wd,5.0,80.0,0.0625,0.04340420081967213,0.05613473360655738
AD Mascarenhas,death,Nb,0.0,80.0,0.0,0.006570184426229508,0.002190061475409836
AD Mascarenhas,middle,0,31.0,72.0,0.4305555555555556,0.2808889845966761,0.37710320878452713
AD Mascarenhas,middle,1,30.0,72.0,0.4166666666666667,0.4414331678151601,0.4255118456482715
AD Mascarenhas,middle,2,2.0,72.0,0.027777777777777776,0.06664217673287394,0.04165792026174069
AD Mascarenhas,middle,3,0.0,72.0,0.0,0.002286430887717876,0.0008165824598992415
AD Mascarenhas,middle,4,2.0,72.0,0.027777777777777776,0.08739739562221321,0.04907049843650472
AD Mascarenhas,middle,6,0.0,72.0,0.0,0.048281059991892986,0.017243235711390352
AD Mascarenhas,middle,W,5.0,72.0,0.06944444444444445,0.04221980137819214,0.059721357635068625
AD Mascarenhas,middle,Wd,2.0,72.0,0.027777777777777776,0.028171868666396434,0.02791852452371301
AD Mascarenhas,middle,Nb,0.0,72.0,0.0,0.002679114308877179,0.0009568265388847067
AD Mascarenhas,powerplay,0,0.0,2.0,0.0,0.4228881521678736,0.40275062111226057
AD Mascarenhas,powerplay,1,0.0,2.0,0.0,0.25764450947345025,0.24537572330804786
AD Mascarenhas,powerplay,2,0.0,2.0,0.0,0.04384827662845184,0.04176026345566842
AD Mascarenhas,powerplay,3,0.0,2.0,0.0,0.005028429611245902,0.004788980582138954
AD Mascarenhas,powerplay,4,1.0,2.0,0.5,0.15223269683107069,0.16879304460101968
AD Mascarenhas,powerplay,6,0.0,2.0,0.0,0.040523771600022226,0.03859406819049736
AD Mascarenhas,powerplay,W,1.0,2.0,0.5,0.03919952586446391,0.06114240558520373
AD Mascarenhas,powerplay,Wd,0.0,2.0,0.0,0.03486563072990943,0.033205362599913746
AD Mascarenhas,powerplay,Nb,0.0,2.0,0.0,0.003769007093512122,0.00358953056524964
AD Mathews,death,0,80.0,481.0,0.16632016632016633,0.21696977459016392,0.1702088118687266
AD Mathews,death,1,203.0,481.0,0.42203742203742206,0.37083760245901637,0.4181065337780435
AD Mathews,death,2,53.0,481.0,0.1101871101871102,0.08837090163934426,0.10851216135426828
AD Mathews,death,3,1.0,481.0,0.002079002079002079,0.002651127049180328,0.0021229272206664362
AD Mathews,death,4,55.0,481.0,0.11434511434511435,0.11151383196721311,0.11412774141782826
AD Mathews,death,6,36.0,481.0,0.07484407484407485,0.07952100409836066,0.07520314810735974
AD Mathews,death,W,35.0,481.0,0.07276507276507277,0.08016137295081967,0.07333292690601304
AD Mathews,death,Wd,18.0,481.0,0.037422037422037424,0.04340420081967213,0.0378813206003587
AD Mathews,death,Nb,0.0,481.0,0.0,0.006570184426229508,0.0005044287467354709
AD Mathews,middle,0,237.0,731.0,0.32421340629274964,0.2808889845966761,0.32196570607505454
AD Mathews,middle,1,353.0,731.0,0.4829001367989056,0.4414331678151601,0.48074880248068275
AD Mathews,middle,2,40.0,731.0,0.05471956224350205,0.06664217673287394,0.05533811552440331
AD Mathews,middle,3,4.0,731.0,0.005471956224350205,0.002286430887717876,0.005306689021412081
AD Mathews,middle,4,31.0,731.0,0.04240766073871409,0.08739739562221321,0.04474175852774128
AD Mathews,middle,6,22.0,731.0,0.030095759233926128,0.048281059991892986,0.031039224902303136
AD Mathews,middle,W,25.0,731.0,0.03419972640218878,0.04221980137819214,0.03461581330107352
AD Mathews,middle,Wd,19.0,731.0,0.025991792065663474,0.028171868666396434,0.02610489591005948
AD Mathews,middle,Nb,0.0,731.0,0.0,0.002679114308877179,0.00013899425726989254
AD Mathews,powerplay,0,48.0,84.0,0.5714285714285714,0.4228881521678736,0.523512307150927
AD Mathews,powerplay,1,16.0,84.0,0.19047619047619047,0.25764450947345025,0.2121433901527259
AD Mathews,powerplay,2,2.0,84.0,0.023809523809523808,0.04384827662845184,0.030273637622081236
AD Mathews,powerplay,3,0.0,84.0,0.0,0.005028429611245902,0.0016220740681438394
AD Mathews,powerplay,4,11.0,84.0,0.13095238095238096,0.15223269683107069,0.13781699897776473
AD Mathews,powerplay,6,0.0,84.0,0.0,0.040523771600022226,0.013072184387103945
AD Mathews,powerplay,W,3.0,84.0,0.03571428571428571,0.03919952586446391,0.03683855673047223
AD Mathews,powerplay,Wd,4.0,84.0,0.047619047619047616,0.03486563072990943,0.04350504217093852
AD Mathews,powerplay,Nb,0.0,84.0,0.0,0.003769007093512122,0.0012158087398426202
AD Russell,death,0,256.0,989.0,0.25884732052578363,0.21696977459016392,0.2572194275836799
AD Russell,death,1,272.0,989.0,0.2750252780586451,0.37083760245901637,0.2787497610285332
AD Russell,death,2,41.0,989.0,0.041456016177957536,0.08837090163934426,0.043279724067613
AD Russell,death,3,0.0,989.0,0.0,0.002651127049180328,0.00010305644506045978
AD Russell,death,4,112.0,989.0,0.11324570273003033,0.11151383196721311,0.11317838025139798
AD Russell,death,6,151.0,989.0,0.15267947421638017,0.07952100409836066,0.14983560754512576
AD Russell,death,W,77.0,989.0,0.07785642062689585,0.08016137295081967,0.07794602032850612
AD Russell,death,Wd,73.0,989.0,0.07381193124368049,0.04340420081967213,0.07262990090649843
AD Russell,death,Nb,7.0,989.0,0.007077856420626896,0.006570184426229508,0.007058121843585209
AD Russell,middle,0,350.0,968.0,0.3615702479338843,0.2808889845966761,0.3583686104998681
AD Russell,middle,1,286.0,968.0,0.29545454545454547,0.4414331678151601,0.301247347929173
AD Russell,middle,2,33.0,968.0,0.03409090909090909,0.06664217673287394,0.03538262606082833
AD Russell,middle,3,2.0,968.0,0.002066115702479339,0.002286430887717876,0.002074858368560233
AD Russell,middle,4,94.0,968.0,0.09710743801652892,0.08739739562221321,0.09672211887389735
AD Russell,middle,6,111.0,968.0,0.11466942148760331,0.048281059991892986,0.112034962698091
AD Russell,middle,W,39.0,968.0,0.040289256198347105,0.04221980137819214,0.04036586513405524
AD Russell,middle,Wd,42.0,968.0,0.04338842975206612,0.028171868666396434,0.04278459796295224
AD Russell,middle,Nb,11.0,968.0,0.011363636363636364,0.002679114308877179,0.011019012472574492
AD Russell,powerplay,0,19.0,43.0,0.4418604651162791,0.4228881521678736,0.43271718176764995
AD Russell,powerplay,1,6.0,43.0,0.13953488372093023,0.25764450947345025,0.19645518528840977
AD Russell,powerplay,2,0.0,43.0,0.0,0.04384827662845184,0.02113169957997679
AD Russell,powerplay,3,0.0,43.0,0.0,0.005028429611245902,0.002423339571684772
AD Russell,powerplay,4,6.0,43.0,0.13953488372093023,0.15223269683107069,0.1456543117258172
AD Russell,powerplay,6,7.0,43.0,0.16279069767441862,0.040523771600022226,0.10386687787952878
AD Russell,powerplay,W,3.0,43.0,0.06976744186046512,0.03919952586446391,0.055035916079259714
AD Russell,powerplay,Wd,2.0,43.0,0.046511627906976744,0.03486563072990943,0.040899099146944305
AD Russell,powerplay,Nb,0.0,43.0,0.0,0.003769007093512122,0.0018163889607287337
AF Milne,death,0,16.0,59.0,0.2711864406779661,0.21696977459016392,0.24928071700612683
AF Milne,death,1,22.0,59.0,0.3728813559322034,0.37083760245901637,0.37205559695313795
AF Milne,death,2,7.0,59.0,0.11864406779661017,0.08837090163934426,0.10641248551084617
AF Milne,death,3,0.0,59.0,0.0,0.002651127049180328,0.0010711624441132638
AF Milne,death,4,1.0,59.0,0.01694915254237288,0.11151383196721311,0.05515710382513661
AF Milne,death,6,3.0,59.0,0.05084745762711865,0.07952100409836066,0.062432728928630575
AF Milne,death,W,7.0,59.0,0.11864406779661017,0.08016137295081967,0.1030955042225534
AF Milne,death,Wd,3.0,59.0,0.05084745762711865,0.04340420081967213,0.04784008113926147
AF Milne,death,Nb,0.0,59.0,0.0,0.006570184426229508,0.002654619970193741
AF Milne,middle,0,8.0,21.0,0.38095238095238093,0.2808889845966761,0.3153370390797876
AF Milne,middle,1,8.0,21.0,0.38095238095238093,0.4414331678151601,0.42061191332141645
AF Milne,middle,2,1.0,21.0,0.047619047619047616,0.06664217673287394,0.0600932306445075
AF Milne,middle,3,0.0,21.0,0.0,0.002286430887717876,0.0014992989427658203
AF Milne,middle,4,0.0,21.0,0.0,0.08739739562221321,0.05730976762112342
AF Milne,middle,6,1.0,21.0,0.047619047619047616,0.048281059991892986,0.04805315409304458
AF Milne,middle,W,3.0,21.0,0.14285714285714285,0.04221980137819214,0.07686544352668337
AF Milne,middle,Wd,0.0,21.0,0.0,0.028171868666396434,0.01847335650255504
AF Milne,middle,Nb,0.0,21.0,0.0,0.002679114308877179,0.0017567962681161828
AJ Finch,death,0,56.0,254.0,0.2204724409448819,0.21696977459016392,0.21999588769934206
AJ Finch,death,1,90.0,254.0,0.3543307086614173,0.37083760245901637,0.35657654455224713
AJ Finch,death,2,33.0,254.0,0.12992125984251968,0.08837090163934426,0.12426814988290398
AJ Finch,death,3,0.0,254.0,0.0,0.002651127049180328,0.00036069755771160925
AJ Finch,death,4,35.0,254.0,0.1377952755905512,0.11151383196721311,0.13421956897513102
AJ Finch,death,6,18.0,254.0,0.07086614173228346,0.07952100409836066,0.07204367402698784
AJ Finch,death,W,16.0,254.0,0.06299212598425197,0.08016137295081967,0.06532807795249247
AJ Finch,death,Wd,5.0,254.0,0.01968503937007874,0.04340420081967213,0.022912136165941788
AJ Finch,death,Nb,1.0,254.0,0.003937007874015748,0.006570184426229508,0.00429526318724211
AJ Finch,middle,0,297.0,1119.0,0.26541554959785524,0.2808889845966761,0.2659495766901355
AJ Finch,middle,1,480.0,1119.0,0.4289544235924933,0.4414331678151601,0.42938509638706335
AJ Finch,middle,2,74.0,1119.0,0.06613047363717604,0.06664217673287394,0.06614813379578512
AJ Finch,middle,3,1.0,1119.0,0.0008936550491510277,0.002286430887717876,0.0009417232403008759
AJ Finch,middle,4,109.0,1119.0,0.09740840035746202,0.08739739562221321,0.09706289544856647
AJ Finch,middle,6,66.0,1119.0,0.058981233243967826,0.048281059991892986,0.058611943399202525
AJ Finch,middle,W,44.0,1119.0,0.03932082216264522,0.04221980137819214,0.039420873214087736
AJ Finch,middle,Wd,44.0,1119.0,0.03932082216264522,0.028171868666396434,0.03893604378486269
AJ Finch,middle,Nb,4.0,1119.0,0.0035746201966041107,0.002679114308877179,0.003543714039995761
AJ Finch,powerplay,0,695.0,1633.0,0.4255970606246173,0.4228881521678736,0.4255322929388613
