venue,phase,outcome,n,total_n,probability_raw,fallback_probability,probability
Bay Oval,powerplay,W,12.0,267.0,0.0449438202247191,0.03919952586446391,0.043378617401761285
Bay Oval,powerplay,Wd,10.0,267.0,0.03745318352059925,0.03486563072990943,0.0367481282642805
Bay Oval,powerplay,Nb,3.0,267.0,0.011235955056179775,0.003769007093512122,0.009201364330657255
"Bay Oval, Mount Maunganui",death,0,40.0,179.0,0.22346368715083798,0.21696977459016392,0.22113611992478996
"Bay Oval, Mount Maunganui",death,1,57.0,179.0,0.31843575418994413,0.37083760245901637,0.33721777865914565
"Bay Oval, Mount Maunganui",death,2,22.0,179.0,0.12290502793296089,0.08837090163934426,0.11052720488865386
"Bay Oval, Mount Maunganui",death,3,0.0,179.0,0.0,0.002651127049180328,0.0009502247488101534
"Bay Oval, Mount Maunganui",death,4,15.0,179.0,0.08379888268156424,0.11151383196721311,0.09373255626064987
"Bay Oval, Mount Maunganui",death,6,13.0,179.0,0.07262569832402235,0.07952100409836066,0.07509713408543393
"Bay Oval, Mount Maunganui",death,W,22.0,179.0,0.12290502793296089,0.08016137295081967,0.10758472148774899
"Bay Oval, Mount Maunganui",death,Wd,9.0,179.0,0.05027932960893855,0.04340420081967213,0.04781512574181797
"Bay Oval, Mount Maunganui",death,Nb,1.0,179.0,0.00558659217877095,0.006570184426229508,0.0059391342029496445
"Bay Oval, Mount Maunganui",middle,0,128.0,493.0,0.25963488843813387,0.2808889845966761,0.263219053051716
"Bay Oval, Mount Maunganui",middle,1,223.0,493.0,0.45233265720081134,0.4414331678151601,0.4504946320093019
"Bay Oval, Mount Maunganui",middle,2,29.0,493.0,0.058823529411764705,0.06664217673287394,0.06014201968513895
"Bay Oval, Mount Maunganui",middle,3,1.0,493.0,0.002028397565922921,0.002286430887717876,0.0020719107736455102
"Bay Oval, Mount Maunganui",middle,4,49.0,493.0,0.09939148073022312,0.08739739562221321,0.09736886941352668
"Bay Oval, Mount Maunganui",middle,6,26.0,493.0,0.05273833671399594,0.048281059991892986,0.051986688025614326
"Bay Oval, Mount Maunganui",middle,W,25.0,493.0,0.05070993914807302,0.04221980137819214,0.049278212711330885
"Bay Oval, Mount Maunganui",middle,Wd,10.0,493.0,0.02028397565922921,0.028171868666396434,0.02161414311406348
"Bay Oval, Mount Maunganui",middle,Nb,2.0,493.0,0.004056795131845842,0.002679114308877179,0.0038244712156622557
"Bay Oval, Mount Maunganui",powerplay,0,120.0,272.0,0.4411764705882353,0.4228881521678736,0.4362602559591058
"Bay Oval, Mount Maunganui",powerplay,1,68.0,272.0,0.25,0.25764450947345025,0.252054975664906
"Bay Oval, Mount Maunganui",powerplay,2,15.0,272.0,0.05514705882352941,0.04384827662845184,0.05210975178184189
"Bay Oval, Mount Maunganui",powerplay,3,1.0,272.0,0.003676470588235294,0.005028429611245902,0.004039900433130619
"Bay Oval, Mount Maunganui",powerplay,4,38.0,272.0,0.13970588235294118,0.15223269683107069,0.14307330559975018
"Bay Oval, Mount Maunganui",powerplay,6,8.0,272.0,0.029411764705882353,0.040523771600022226,0.03239886333333931
"Bay Oval, Mount Maunganui",powerplay,W,11.0,272.0,0.04044117647058824,0.03919952586446391,0.04010739942593116
"Bay Oval, Mount Maunganui",powerplay,Wd,11.0,272.0,0.04044117647058824,0.03486563072990943,0.03894237385212619
"Bay Oval, Mount Maunganui",powerplay,Nb,0.0,272.0,0.0,0.003769007093512122,0.00101317394986885
"Beausejour Stadium, Gros Islet",death,0,37.0,221.0,0.167420814479638,0.21696977459016392,0.18285662759818191
"Beausejour Stadium, Gros Islet",death,1,99.0,221.0,0.4479638009049774,0.37083760245901637,0.4239369478065471
"Beausejour Stadium, Gros Islet",death,2,17.0,221.0,0.07692307692307693,0.08837090163934426,0.08048937745773965
"Beausejour Stadium, Gros Islet",death,3,1.0,221.0,0.004524886877828055,0.002651127049180328,0.003941161074511006
"Beausejour Stadium, Gros Islet",death,4,21.0,221.0,0.09502262443438914,0.11151383196721311,0.10016007226392933
"Beausejour Stadium, Gros Islet",death,6,19.0,221.0,0.08597285067873303,0.07952100409836066,0.08396292962565753
"Beausejour Stadium, Gros Islet",death,W,21.0,221.0,0.09502262443438914,0.08016137295081967,0.09039295107502171
"Beausejour Stadium, Gros Islet",death,Wd,5.0,221.0,0.02262443438914027,0.04340420081967213,0.02909788187528727
"Beausejour Stadium, Gros Islet",death,Nb,1.0,221.0,0.004524886877828055,0.006570184426229508,0.005162051223124457
"Beausejour Stadium, Gros Islet",middle,0,207.0,758.0,0.27308707124010556,0.2808889845966761,0.27399638515112773
"Beausejour Stadium, Gros Islet",middle,1,345.0,758.0,0.4551451187335092,0.4414331678151601,0.4535469892558462
"Beausejour Stadium, Gros Islet",middle,2,67.0,758.0,0.08839050131926121,0.06664217673287394,0.08585573155394802
"Beausejour Stadium, Gros Islet",middle,3,2.0,758.0,0.002638522427440633,0.002286430887717876,0.002597486117449636
"Beausejour Stadium, Gros Islet",middle,4,62.0,758.0,0.08179419525065963,0.08739739562221321,0.08244724890701785
"Beausejour Stadium, Gros Islet",middle,6,42.0,758.0,0.055408970976253295,0.048281059991892986,0.05457821212026725
"Beausejour Stadium, Gros Islet",middle,W,22.0,758.0,0.029023746701846966,0.04221980137819214,0.03056174841237671
"Beausejour Stadium, Gros Islet",middle,Wd,9.0,758.0,0.011873350923482849,0.028171868666396434,0.01377294506601357
"Beausejour Stadium, Gros Islet",middle,Nb,2.0,758.0,0.002638522427440633,0.002679114308877179,0.002643253415953051
"Beausejour Stadium, Gros Islet",powerplay,0,171.0,391.0,0.4373401534526854,0.4228881521678736,0.4343967723356158
"Beausejour Stadium, Gros Islet",powerplay,1,83.0,391.0,0.21227621483375958,0.25764450947345025,0.22151619337544812
"Beausejour Stadium, Gros Islet",powerplay,2,29.0,391.0,0.0741687979539642,0.04384827662845184,0.06799353902819792
"Beausejour Stadium, Gros Islet",powerplay,3,6.0,391.0,0.015345268542199489,0.005028429611245902,0.013244079350559245
"Beausejour Stadium, Gros Islet",powerplay,4,57.0,391.0,0.14578005115089515,0.15223269683107069,0.1470942356071427
"Beausejour Stadium, Gros Islet",powerplay,6,7.0,391.0,0.017902813299232736,0.040523771600022226,0.02250993311609414
"Beausejour Stadium, Gros Islet",powerplay,W,15.0,391.0,0.03836317135549872,0.03919952586446391,0.03853350832270141
"Beausejour Stadium, Gros Islet",powerplay,Wd,21.0,391.0,0.05370843989769821,0.03486563072990943,0.0498708005559897
"Beausejour Stadium, Gros Islet",powerplay,Nb,2.0,391.0,0.005115089514066497,0.003769007093512122,0.004840938308250942
Bellerive Oval,death,0,20.0,104.0,0.19230769230769232,0.21696977459016392,0.20439694832851174
Bellerive Oval,death,1,37.0,104.0,0.3557692307692308,0.37083760245901637,0.36315568747990995
Bellerive Oval,death,2,13.0,104.0,0.125,0.08837090163934426,0.10704455962712954
Bellerive Oval,death,3,1.0,104.0,0.009615384615384616,0.002651127049180328,0.006201532867245259
Bellerive Oval,death,4,10.0,104.0,0.09615384615384616,0.11151383196721311,0.10368325096432016
Bellerive Oval,death,6,10.0,104.0,0.09615384615384616,0.07952100409836066,0.08800049220507876
Bellerive Oval,death,W,9.0,104.0,0.08653846153846154,0.08016137295081967,0.08341243772099004
Bellerive Oval,death,Wd,3.0,104.0,0.028846153846153848,0.04340420081967213,0.03598245138219222
Bellerive Oval,death,Nb,1.0,104.0,0.009615384615384616,0.006570184426229508,0.008122639424622309
Bellerive Oval,middle,0,51.0,197.0,0.25888324873096447,0.2808889845966761,0.26629258740628825
Bellerive Oval,middle,1,81.0,197.0,0.41116751269035534,0.4414331678151601,0.4213579689613334
Bellerive Oval,middle,2,13.0,197.0,0.06598984771573604,0.06664217673287394,0.06620948711544576
Bellerive Oval,middle,3,1.0,197.0,0.005076142131979695,0.002286430887717876,0.004136845416740025
Bellerive Oval,middle,4,17.0,197.0,0.08629441624365482,0.08739739562221321,0.08666578977178897
Bellerive Oval,middle,6,13.0,197.0,0.06598984771573604,0.048281059991892986,0.060027292926563294
Bellerive Oval,middle,W,13.0,197.0,0.06598984771573604,0.04221980137819214,0.057986465110502414
Bellerive Oval,middle,Wd,7.0,197.0,0.03553299492385787,0.028171868666396434,0.03305450123447691
Bellerive Oval,middle,Nb,1.0,197.0,0.005076142131979695,0.002679114308877179,0.0042690620568610034
Bellerive Oval,powerplay,0,53.0,151.0,0.3509933774834437,0.4228881521678736,0.379636714011105
Bellerive Oval,powerplay,1,40.0,151.0,0.26490066225165565,0.25764450947345025,0.2620097647304583
Bellerive Oval,powerplay,2,5.0,151.0,0.033112582781456956,0.04384827662845184,0.037389751644801524
Bellerive Oval,powerplay,3,1.0,151.0,0.006622516556291391,0.005028429611245902,0.005987422155874861
Bellerive Oval,powerplay,4,32.0,151.0,0.2119205298013245,0.15223269683107069,0.18814051666576523
Bellerive Oval,powerplay,6,6.0,151.0,0.039735099337748346,0.040523771600022226,0.040049311394431165
Bellerive Oval,powerplay,W,9.0,151.0,0.059602649006622516,0.03919952586446391,0.05147391468703741
Bellerive Oval,powerplay,Wd,5.0,151.0,0.033112582781456956,0.03486563072990943,0.03381100825892806
Bellerive Oval,powerplay,Nb,0.0,151.0,0.0,0.003769007093512122,0.001501596451598455
"Bellerive Oval, Hobart",death,0,24.0,138.0,0.17391304347826086,0.21696977459016392,0.19200410697065712
"Bellerive Oval, Hobart",death,1,51.0,138.0,0.3695652173913043,0.37083760245901637,0.3700998329659732
"Bellerive Oval, Hobart",death,2,13.0,138.0,0.09420289855072464,0.08837090163934426,0.09175247968039675
"Bellerive Oval, Hobart",death,3,1.0,138.0,0.007246376811594203,0.002651127049180328,0.005315599600495937
"Bellerive Oval, Hobart",death,4,21.0,138.0,0.15217391304347827,0.11151383196721311,0.13508984536437527
"Bellerive Oval, Hobart",death,6,11.0,138.0,0.07971014492753623,0.07952100409836066,0.07963067399090784
"Bellerive Oval, Hobart",death,W,9.0,138.0,0.06521739130434782,0.08016137295081967,0.07149637518942004
"Bellerive Oval, Hobart",death,Wd,7.0,138.0,0.050724637681159424,0.04340420081967213,0.04764882387381182
"Bellerive Oval, Hobart",death,Nb,1.0,138.0,0.007246376811594203,0.006570184426229508,0.006962262363961978
"Bellerive Oval, Hobart",middle,0,48.0,211.0,0.22748815165876776,0.2808889845966761,0.24465883749089262
"Bellerive Oval, Hobart",middle,1,90.0,211.0,0.4265402843601896,0.4414331678151601,0.43132899286661097
"Bellerive Oval, Hobart",middle,2,15.0,211.0,0.07109004739336493,0.06664217673287394,0.06965986390124564
"Bellerive Oval, Hobart",middle,3,1.0,211.0,0.004739336492890996,0.002286430887717876,0.0039506208642179665
"Bellerive Oval, Hobart",middle,4,19.0,211.0,0.09004739336492891,0.08739739562221321,0.08919530405858947
"Bellerive Oval, Hobart",middle,6,17.0,211.0,0.08056872037914692,0.048281059991892986,0.07018683601025498
"Bellerive Oval, Hobart",middle,W,15.0,211.0,0.07109004739336493,0.04221980137819214,0.06180701008945085
